# ADR90 WP-A2 tau=0 band, build cc4aa6db01c7ae86155b425182021722ab55db50 (expected any), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf,substeps_tot,substeps_max,substeps_max_ele,substeps_ring_tot,substeps_ring_max,wall_step_s
0.0740375,0.03701875,940.770526,-940.441764,0.3125,1,1785.68692,0,0,0,0,0,0,0,56932,12123,80,22697,10474,23.0421968
0.07435,0.037175,945.217628,-945.194416,0.625,1,1797.71511,0,0,0,0,0,0,0,55836,12153,80,22212,10148,12.028198
0.0746625,0.03733125,949.668073,-949.825073,0.3125,1,1820.82296,0,0,0,0,0,0,0,58886,12900,80,23684,10867,23.1078491
0.074975,0.0374875,954.091932,-954.31534,0.3125,1,1841.03748,0,0,0,0,0,0,0,61757,13251,80,25777,11913,20.2145114
0.0752875,0.03764375,958.564976,-958.920256,0.3125,1,1868.31734,0,0,0,0,0,0,0,60243,12862,80,24956,11483,27.2798648
0.0756,0.0378,962.796627,-963.051525,0.3125,1,1884.49863,0,0,0,0,0,0,0,60940,13090,80,25152,11550,16.1812916
0.0759125,0.03795625,961.735678,-962.272298,0.3125,1,1899.68943,0,0,0,0,0,0,0,52532,10845,80,18340,7690,15.1907952
0.076225,0.0381125,970.173105,-969.861089,0.625,1,1908.10901,0,0,0,0,0,0,0,58507,12392,80,23728,10965,8.41958261
0.07685,0.038425,974.928612,-975.093581,0.625,1,1913.65332,0,0,0,0,0,0,0,89413,18203,80,34375,15041,5.5443058
0.0771625,0.03858125,982.873244,-982.23525,0.3125,1,1931.62431,0,0,0,0,0,0,0,53651,10788,130,23333,10788,17.970998
0.077475,0.0387375,986.853215,-986.970455,0.3125,1,1959.38563,0,0,0,0,0,0,0,58717,13033,80,23197,10657,27.7613122
0.0777875,0.03889375,991.485602,-991.6804,0.3125,1,2003.95584,0,0,0,0,0,0,0,59508,12886,80,24445,11249,44.5702183
