# ADR90 WP-A2 tau=0 band, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.60
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
0.1021625,0.05108125,2527.49016,-2528.21764,0.15625,1,4001.0088
0.10231875,0.051159375,2529.8874,-2530.08298,0.15625,1,4017.86417
0.102475,0.0512375,2533.84934,-2534.41534,0.3125,1,4020.78807
0.1027875,0.05139375,2537.24879,-2537.50087,0.3125,1,4029.722
0.1031,0.05155,2553.56211,-2554.46045,0.3125,1,4033.14122
0.1034125,0.05170625,2552.55389,-2552.93365,0.3125,1,4044.89442
0.103725,0.0518625,2562.08474,-2562.29729,0.3125,1,4052.85107
0.10388125,0.051940625,2573.03323,-2573.06333,0.15625,1,4063.71985
0.1040375,0.05201875,2579.65765,-2579.76027,0.15625,1,4067.1413
0.10419375,0.052096875,2576.48271,-2577.049,0.15625,1,4075.59947
0.10435,0.052175,2591.61806,-2591.71725,0.15625,1,4078.91611
0.10450625,0.052253125,2592.36685,-2592.58363,0.15625,1,4085.72768
0.1046625,0.05233125,2603.18027,-2603.44177,0.3125,1,4091.06324
0.104975,0.0524875,2606.69881,-2607.02895,0.3125,1,4099.96652
0.1052875,0.05264375,2618.85548,-2618.9753,0.3125,1,4105.87388
0.10544375,0.052721875,2633.7726,-2633.81791,0.15625,1,4115.11709
0.1056,0.0528,2630.44264,-2630.41025,0.15625,1,4134.88638
0.10575625,0.052878125,2645.90444,-2645.83984,0.15625,1,4138.12372
0.1059125,0.05295625,2642.14818,-2642.24312,0.15625,1,4142.2584
0.10606875,0.053034375,2657.25591,-2657.24587,0.15625,1,4146.42418
0.106146875,0.0530734375,2660.05218,-2660.38539,0.078125,1,4149.99376
0.106225,0.0531125,2661.81335,-2661.98017,0.078125,1,4156.37411
0.106303125,0.0531515625,2664.52637,-2664.748,0.078125,1,4159.01379
0.10638125,0.053190625,2667.54399,-2667.80349,0.078125,1,4163.02456
0.106459375,0.0532296875,2670.60957,-2670.89002,0.078125,1,4167.55541
0.1065375,0.05326875,2665.95688,-2665.93434,0.15625,0,4174.98288
0.10669375,0.053346875,2681.8897,-2681.78475,0.15625,1,4179.58393
0.106771875,0.0533859375,2682.75062,-2682.95613,0.078125,1,4208.38328
0.10685,0.053425,2685.51031,-2685.82392,0.078125,1,4212.54724
0.106928125,0.0534640625,2680.64226,-2680.58158,0.078125,0,4218.02108
0.10700625,0.053503125,2691.50365,-2691.60378,0.078125,1,4223.541
0.107084375,0.0535421875,2695.96572,-2695.94424,0.078125,1,4227.53708
0.1071625,0.05358125,2690.64998,-2690.63545,0.15625,0,4232.60896
0.10731875,0.053659375,2706.41949,-2706.33353,0.15625,1,4233.72447
0.107475,0.0537375,2703.26431,-2703.33787,0.15625,0,4244.51882
0.10763125,0.053815625,2718.89975,-2718.82803,0.15625,1,4253.55971
0.1077875,0.05389375,2715.88782,-2715.90947,0.15625,0,4263.41335
0.10794375,0.053971875,2731.55323,-2731.47536,0.15625,1,4265.99299
0.1081,0.05405,2727.86461,-2727.75611,0.3125,1,4273.16699
0.1084125,0.05420625,2743.47306,-2743.53083,0.3125,1,4276.78695
0.10856875,0.054284375,2758.21172,-2758.25359,0.15625,1,4289.66063
0.108646875,0.0543234375,2759.12385,-2759.0876,0.078125,1,4302.63902
0.108725,0.0543625,2754.79062,-2754.73243,0.078125,0,4308.96779
0.108803125,0.0544015625,2765.74602,-2765.86768,0.078125,1,4315.0133
0.10888125,0.054440625,2774.2167,-2774.22481,0.078125,1,4322.35644
0.108959375,0.0544796875,2772.48402,-2772.61318,0.078125,1,4329.41836
0.1090375,0.05451875,2775.64924,-2775.85495,0.15625,1,4331.57527
0.10919375,0.054596875,2774.82137,-2774.82572,0.15625,1,4341.61022
0.10935,0.054675,2790.79418,-2790.75602,0.15625,1,4346.27384
0.109428125,0.0547140625,2792.14832,-2792.2913,0.078125,1,4367.89842
0.10950625,0.054753125,2795.53834,-2795.74982,0.078125,1,4369.69962
