# ADR90 WP-A2 tau=0 band, build 87b9cf846aa6e75f96d620f24a15b24ba4503a52 (expected 87b9cf846aa6e75f96d620f24a15b24ba4503a52), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res
0.0482,0.0241,580.644784,-580.635868,0.64,0,68.6649027,3.48665923e-05,3535,0,2,0,0
0.04852,0.02426,584.322241,-584.302055,0.32,0,69.3693457,3.50268811e-05,3679,0,8,0,0
0.04884,0.02442,587.986192,-587.973396,0.32,0,69.7227099,3.35398031e-05,3679,0,2,0,0
0.04916,0.02458,591.644005,-591.638965,0.32,0,70.0669889,3.37847047e-05,3679,0,0,0,0
0.04948,0.02474,595.30941,-595.298376,0.32,0,70.4136822,3.482697e-05,3679,0,0,0,0
0.0498,0.0249,598.9652,-598.957577,0.32,0,70.7409046,3.21669252e-05,3679,0,0,0,0
0.05012,0.02506,602.635698,-602.624132,0.64,0,71.0935788,3.18015662e-05,3679,0,0,0,0
0.05044,0.02522,606.289599,-606.285522,0.32,0,71.7795944,3.22271114e-05,3823,0,0,0,0
0.05076,0.02538,609.956339,-609.945804,0.32,0,72.1130893,3.20636327e-05,3823,0,0,0,0
0.05108,0.02554,613.618778,-613.601553,0.32,0,72.4583118,3.36732303e-05,3823,0,0,0,0
0.0514,0.0257,617.269415,-617.265186,0.32,0,72.7919769,3.46093663e-05,3823,0,0,0,0
0.05172,0.02586,620.93129,-620.920956,0.32,0,73.1281743,3.21092161e-05,3823,0,0,0,0
0.05204,0.02602,624.587751,-624.575776,0.64,0,73.4855151,3.37269597e-05,3823,0,0,0,0
0.05236,0.02618,628.2683,-628.228577,0.32,0,74.2060132,3.37000105e-05,3967,0,0,0,0
0.05268,0.02634,631.882195,-631.886994,0.32,0,74.5592153,3.44335904e-05,3967,0,0,0,0
0.053,0.0265,635.558816,-635.542348,0.32,0,74.9042122,3.29350295e-05,3967,0,0,0,0
0.05332,0.02666,639.201094,-639.1979,0.32,0,75.2552648,3.33963609e-05,3967,0,0,0,0
0.05364,0.02682,642.862103,-642.848822,0.32,0,75.5905356,3.29006099e-05,3967,0,0,0,0
0.05396,0.02698,646.506794,-646.497585,0.64,0,75.9238355,3.30771183e-05,3967,0,0,0,0
0.05428,0.02714,650.154943,-650.145183,0.32,0,76.6523302,3.40154833e-05,4111,0,0,0,0
0.0546,0.0273,653.81114,-653.792377,0.32,0,76.9809577,3.31804353e-05,4111,0,0,0,0
