s_m,s_meas_m,R_kN,q_kPa,ds_mm,wall_s
0.0368,0.0368,11136.1578,2784.03946,0.025,3965.01476
0.036825,0.036825,11142.2301,2785.55752,0.025,3968.19677
0.03685,0.03685,11148.2985,2787.07463,0.05,3974.22448
0.0369,0.0369,11155.423,2788.85575,0.05,3986.1514
0.03695,0.03695,11167.7188,2791.9297,0.05,3989.67561
0.037,0.037,11179.8224,2794.95559,0.05,3993.60332
0.03705,0.03705,11191.8629,2797.96573,0.05,3996.93992
0.0371,0.0371,11203.8865,2800.97162,0.05,4000.88766
0.03715,0.03715,11215.7473,2803.93681,0.1,4005.03717
0.0372,0.0372,11227.8598,2806.96496,0.05,4025.94556
0.03725,0.03725,11238.6686,2809.66714,0.05,4037.78131
0.0373,0.0373,11250.4601,2812.61502,0.05,4041.03017
0.03735,0.03735,11262.5844,2815.64609,0.05,4044.75001
0.037375,0.037375,11269.2757,2817.31892,0.025,4062.46316
0.0374,0.0374,11274.6315,2818.65788,0.025,4065.93448
0.037425,0.037425,11280.6736,2820.16841,0.025,4069.7152
0.03745,0.03745,11286.7123,2821.67807,0.025,4073.08564
0.037475,0.037475,11292.7464,2823.18659,0.025,4076.00661
0.0375,0.0375,11298.776,2824.694,0.05,4078.92382
0.03755,0.03755,11305.015,2826.25374,0.05,4094.64698
0.0376,0.0376,11317.3169,2829.32922,0.05,4098.57381
0.03765,0.03765,11329.405,2832.35125,0.05,4102.81996
0.0377,0.0377,11341.3602,2835.34006,0.05,4108.00991
0.03775,0.03775,11353.2735,2838.31836,0.05,4112.47765
0.0378,0.0378,11365.1568,2841.2892,0.1,4116.45284
0.03785,0.03785,11376.8807,2844.22017,0.05,4138.48199
0.0379,0.0379,11388.6787,2847.16967,0.05,4142.09694
