s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.0622,0.0622,5055.86978,1263.96745,1.98276447,0.2,4791.35531
0.0624,0.0624,5064.33453,1266.08363,1.9860841,0.2,4805.7621
0.0626,0.0626,5072.78046,1268.19511,1.98939634,0.2,4820.87689
0.0628,0.0628,5081.19206,1270.29801,1.99269513,0.2,4833.58455
0.063,0.063,5089.57596,1272.39399,1.99598305,0.4,4850.02684
0.0632,0.0632,5097.94166,1274.48541,1.99926383,0.2,4889.12577
0.0634,0.0634,5106.2769,1276.56923,2.00253267,0.2,4899.05173
0.0636,0.0636,5114.58581,1278.64645,2.00579118,0.2,4909.2298
0.0638,0.0638,5122.8697,1280.71743,2.00903988,0.2,4919.81661
0.064,0.064,5131.12844,1282.78211,2.01227872,0.4,4931.34638
0.0642,0.0642,5139.36192,1284.84048,2.01550765,0.2,4966.88313
0.0644,0.0644,5147.57375,1286.89344,2.01872809,0.2,4973.85108
0.0646,0.0646,5155.76769,1288.94192,2.02194151,0.2,4982.2636
0.0648,0.0648,5163.92792,1290.98198,2.02514172,0.2,4991.41176
0.065,0.065,5172.0627,1293.01567,2.02833194,0.4,5004.86445
0.0654,0.0654,5188.25051,1297.06263,2.03468033,0.4,5023.45565
0.0656,0.0656,5196.32996,1299.08249,2.03784885,0.2,5068.28575
0.0658,0.0658,5204.39183,1301.09796,2.04101048,0.2,5088.67845
0.066,0.066,5212.43195,1303.10799,2.04416358,0.2,5110.34007
0.0662,0.0662,5220.45285,1305.11321,2.04730914,0.2,5128.41756
0.0664,0.0664,5228.45497,1307.11374,2.05044734,0.4,5148.15495
0.0666,0.0666,5236.44324,1309.11081,2.05358011,0.2,5202.56681
0.0668,0.0668,5244.41088,1311.10272,2.05670478,0.2,5221.91162
0.067,0.067,5252.35408,1313.08852,2.05981987,0.2,5239.00578
0.0672,0.0672,5260.27256,1315.06814,2.06292527,0.2,5256.68985
0.0674,0.0674,5268.17182,1317.04295,2.06602313,0.4,5271.48547
0.0676,0.0676,5276.04951,1319.01238,2.06911253,0.2,5334.86786
0.0678,0.0678,5283.90258,1320.97565,2.07219228,0.2,5354.1353
0.068,0.068,5291.72972,1322.93243,2.07526185,0.2,5369.47282
0.0682,0.0682,5299.52611,1324.88153,2.07831937,0.2,5390.06705
0.0684,0.0684,5307.29769,1326.82442,2.08136716,0.4,5409.5121
0.0686,0.0686,5315.04959,1328.7624,2.08440722,0.2,5472.55409
0.0688,0.0688,5322.78206,1330.69552,2.08743967,0.2,5491.21936
0.069,0.069,5330.48738,1332.62185,2.09046147,0.2,5507.73585
0.0692,0.0692,5338.1761,1334.54403,2.09347677,0.2,5524.73384
0.0694,0.0694,5345.83331,1336.45833,2.0964797,0.4,5539.05762
0.0696,0.0696,5353.47158,1338.36789,2.0994752,0.2,5606.71383
0.0698,0.0698,5361.09112,1340.27278,2.10246337,0.2,5628.05555
0.07,0.07,5368.69528,1342.17382,2.10544549,0.2,5653.76593
0.0702,0.0702,5376.28468,1344.07117,2.10842184,0.2,5669.60156
0.0704,0.0704,5383.85698,1345.96425,2.11139147,0.4,5685.09595
0.0708,0.0708,5398.94187,1349.73547,2.11730733,0.4,5721.45803
0.071,0.071,5406.4676,1351.6169,2.1202587,0.2,5793.42958
0.0712,0.0712,5413.97195,1353.49299,2.12320168,0.2,5816.23813
0.0714,0.0714,5421.46221,1355.36555,2.12613914,0.2,5835.36714
0.0716,0.0716,5428.93802,1357.23451,2.12907094,0.2,5849.86877
0.0718,0.0718,5436.39949,1359.09987,2.13199711,0.4,5865.43996
0.0722,0.0722,5451.24509,1362.81127,2.13781912,0.4,5887.59347
0.0724,0.0724,5458.64769,1364.66192,2.1407222,0.2,5961.44385
0.0726,0.0726,5466.03354,1366.50839,2.14361872,0.2,5988.29006
0.0728,0.0728,5473.40408,1368.35102,2.14650923,0.2,6013.37932
0.073,0.073,5480.76097,1370.19024,2.14939438,0.2,6030.364
0.0732,0.0732,5488.09509,1372.02377,2.15227061,0.4,6043.91744
0.0734,0.0734,5495.39862,1373.84965,2.15513484,0.2,6104.51554
0.0735,0.0735,5499.04716,1374.76179,2.1565657,0.1,6152.973
0.0736,0.0736,5502.69026,1375.67256,2.15799441,0.1,6168.86426
0.0737,0.0737,5506.32944,1376.58236,2.15942159,0.1,6182.83922
0.0738,0.0738,5509.96557,1377.49139,2.16084758,0.1,6199.05107
0.0739,0.0739,5513.595,1378.39875,2.16227093,0.2,6211.64972
0.0741,0.0741,5520.82717,1380.20679,2.16510718,0.2,6230.26317
0.0743,0.0743,5528.04695,1382.01174,2.16793857,0.2,6250.0229
0.0744,0.0744,5531.65217,1382.91304,2.16935243,0.1,6301.81031
0.0745,0.0745,5535.25194,1383.81299,2.17076415,0.1,6317.90241
0.0746,0.0746,5538.84749,1384.71187,2.17217422,0.1,6331.45504
0.0747,0.0747,5542.44012,1385.61003,2.17358315,0.1,6345.5217
0.0748,0.0748,5546.02808,1386.50702,2.17499024,0.2,6358.75652
0.075,0.075,5553.18727,1388.29682,2.17779787,0.2,6375.42731
0.0751,0.0751,5556.76417,1389.19104,2.17920062,0.1,6429.06108
0.0752,0.0752,5560.33839,1390.0846,2.18060233,0.1,6445.44047
0.0753,0.0753,5563.90778,1390.97695,2.18200214,0.1,6461.08229
0.0754,0.0754,5567.4697,1391.86743,2.18339902,0.1,6478.61749
0.0755,0.0755,5571.0282,1392.75705,2.18479456,0.2,6493.27741
0.0756,0.0756,5574.58288,1393.64572,2.1861886,0.1,6547.27683
0.0757,0.0757,5578.13201,1394.533,2.18758046,0.1,6559.00848
0.0758,0.0758,5581.67796,1395.41949,2.18897108,0.1,6574.82686
0.0759,0.0759,5585.21836,1396.30459,2.19035953,0.1,6589.64239
0.076,0.076,5588.7527,1397.18817,2.19174559,0.2,6606.47995
0.0762,0.0762,5595.80146,1398.95037,2.19450991,0.2,6623.57216
0.0764,0.0764,5602.83949,1400.70987,2.19727002,0.2,6644.46978
0.0765,0.0765,5606.3559,1401.58897,2.19864905,0.1,6696.76454
0.0766,0.0766,5609.86999,1402.4675,2.20002717,0.1,6712.52623
0.0767,0.0767,5613.38152,1403.34538,2.20140429,0.1,6725.24195
0.0768,0.0768,5616.89096,1404.22274,2.20278059,0.1,6741.01814
0.0769,0.0769,5620.39387,1405.09847,2.20415433,0.2,6757.34228
0.0771,0.0771,5627.38127,1406.84532,2.20689458,0.2,6775.32419
0.0773,0.0773,5634.35225,1408.58806,2.2096284,0.2,6796.6752
0.0775,0.0775,5641.311,1410.32775,2.21235742,0.2,6816.90029
0.0777,0.0777,5648.24802,1412.062,2.21507791,0.2,6840.69762
0.0779,0.0779,5655.1717,1413.79292,2.21779318,0.4,6862.31837
0.078,0.078,5658.63038,1414.65759,2.21914957,0.1,6979.40137
0.0781,0.0781,5662.08625,1415.52156,2.22050487,0.1,6999.27718
0.0782,0.0782,5665.53879,1416.3847,2.22185885,0.1,7019.29814
0.0783,0.0783,5668.98896,1417.24724,2.22321191,0.1,7040.44144
0.0784,0.0784,5672.43492,1418.10873,2.22456331,0.2,7063.03789
0.0786,0.0786,5679.30917,1419.82729,2.22725919,0.2,7091.15389
0.0787,0.0787,5682.74242,1420.6856,2.22860561,0.1,7193.5524
0.0788,0.0788,5686.16623,1421.54156,2.22994833,0.1,7215.97844
0.0789,0.0789,5689.59156,1422.39789,2.23129164,0.1,7242.28498
0.079,0.079,5693.01495,1423.25374,2.2326342,0.1,7269.13106
0.0791,0.0791,5696.4351,1424.10877,2.23397548,0.2,7296.02284
0.0792,0.0792,5699.84624,1424.96156,2.23531323,0.1,7390.36127
0.0793,0.0793,5703.25514,1425.81378,2.2366501,0.1,7416.80972
0.0794,0.0794,5706.66194,1426.66548,2.23798615,0.1,7450.95671
0.0795,0.0795,5710.06596,1427.51649,2.23932111,0.1,7479.90625
0.0796,0.0796,5713.46733,1428.36683,2.24065503,0.2,7513.32477
0.0798,0.0798,5720.25347,1430.06337,2.24331635,0.2,7538.61488
0.08,0.08,5727.02697,1431.75674,2.24597272,0.2,7578.8957
0.0802,0.0802,5733.78645,1433.44661,2.24862359,0.2,7603.58468
0.0804,0.0804,5740.53156,1435.13289,2.25126883,0.2,7639.54659
0.0806,0.0806,5747.26302,1436.81576,2.25390871,0.4,7671.24297
0.081,0.081,5760.66916,1440.16729,2.2591662,0.4,7720.01623
0.0812,0.0812,5767.35936,1441.83984,2.2617899,0.2,7799.71117
0.0814,0.0814,5774.01402,1443.5035,2.26439967,0.2,7816.87442
0.0816,0.0816,5780.64079,1445.1602,2.26699849,0.2,7836.48107
