# ADR90 WP-A2 tau=0 band, build afb95c40c9e3da1cc97d6aabe8168644c53d0e82 (expected afb95c40c9e3da1cc97d6aabe8168644c53d0e82), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals
0.0594,0.0297,707.983755,-707.967264,0.32,0,76.2648437,3.18474902e-05,4490
0.05972,0.02986,711.636727,-711.604852,0.32,0,76.5998483,3.08557843e-05,4490
0.06004,0.03002,715.275309,-715.242259,0.32,0,76.9375589,3.16463389e-05,4490
0.06036,0.03018,718.896335,-718.878618,0.32,0,77.2475276,3.43461443e-05,4490
0.06068,0.03034,722.534348,-722.512023,0.64,0,77.567915,3.23013033e-05,4490
0.061,0.0305,726.163769,-726.144462,0.32,0,78.2189,3.18719484e-05,4634
0.06132,0.03066,729.783333,-729.7773,0.32,0,78.5139852,3.163762e-05,4634
0.06164,0.03082,733.421661,-733.406586,0.32,0,78.8482182,3.1536871e-05,4634
0.06196,0.03098,737.041417,-737.034187,0.32,0,79.1585431,3.022879e-05,4634
0.06228,0.03114,740.668082,-740.6639,0.32,0,79.4923518,3.26344111e-05,4634
0.0626,0.0313,744.306777,-744.299301,0.64,0,79.810008,2.97690926e-05,4634
0.06292,0.03146,747.936958,-747.932959,0.32,0,80.4757771,3.08093223e-05,4778
0.06324,0.03162,751.565099,-751.563194,0.32,0,80.7778871,3.07980678e-05,4778
0.06356,0.03178,755.192122,-755.190097,0.32,0,81.0860314,2.92202946e-05,4778
0.06388,0.03194,758.812954,-758.812346,0.32,0,81.404804,3.19625917e-05,4778
0.0642,0.0321,762.438623,-762.437587,0.32,0,81.7294459,3.1549463e-05,4778
0.06452,0.03226,766.05046,-766.054819,0.64,0,82.0486512,2.95875233e-05,4778
0.06484,0.03242,769.677479,-769.676409,0.32,0,82.6964552,2.96789576e-05,4922
0.06516,0.03258,773.292827,-773.2926,0.32,0,82.9954011,3.09945213e-05,4922
0.06548,0.03274,776.908395,-776.908705,0.32,0,83.2816992,3.12798103e-05,4922
0.0658,0.0329,780.526639,-780.526735,0.32,0,83.5806518,3.12543473e-05,4922
0.06612,0.03306,784.145948,-784.144167,0.32,0,83.8914728,3.02830055e-05,4922
0.06644,0.03322,787.765634,-787.763865,0.64,0,84.2064083,3.18881868e-05,4922
0.06676,0.03338,791.382008,-791.382054,0.32,0,84.8669951,3.2125209e-05,5066
0.06708,0.03354,794.996891,-794.994031,0.32,0,85.2142096,3.08966775e-05,5066
0.0674,0.0337,798.603314,-798.606106,0.32,0,85.5125077,3.11409159e-05,5066
0.06772,0.03386,802.223722,-802.214489,0.32,0,85.7996883,3.15824501e-05,5066
0.06804,0.03402,805.820265,-805.824229,0.32,0,86.0927775,3.53316195e-05,5066
0.06836,0.03418,809.443833,-809.432346,0.64,0,86.4062717,3.28660949e-05,5066
0.06868,0.03434,813.045147,-813.043013,0.32,0,87.0830767,3.24068122e-05,5210
0.069,0.0345,816.672682,-816.662884,0.32,0,87.3926282,3.14097884e-05,5210
0.06932,0.03466,820.274219,-820.272426,0.32,0,87.6815677,3.17689821e-05,5210
