ele,gp,x,z,dx,p,q,eta,psi,Mb,Md,eta_over_Md,err,err_dev,err_vol,f
8,8,-9.95139,-3.82123,9.20139,29.0144,24.2758,0.836681,-0.120456,2.02882,0.665798,1.25666,0.000180749,0.000179961,1.68619e-05,1
9,1,-9.95139,-3.25,9.20139,25.4054,21.2484,0.836373,-0.121318,2.03494,0.662508,1.26243,0.000214572,0.000213656,1.97951e-05,1
9,2,-9.95139,-3.25,9.20139,25.4054,21.2573,0.836721,-0.121318,2.03494,0.662508,1.26296,0.000213499,0.000212585,1.97316e-05,1
9,3,-9.95139,-3.25,9.20139,25.4054,21.2484,0.836373,-0.121318,2.03494,0.662508,1.26243,0.000214572,0.000213656,1.97951e-05,1
9,4,-9.95139,-3.25,9.20139,25.4054,21.2573,0.836721,-0.121318,2.03494,0.662508,1.26296,0.000213499,0.000212585,1.97316e-05,1
9,5,-9.95139,-3.25,9.20139,25.4054,21.2535,0.836573,-0.121318,2.03494,0.662508,1.26274,0.0002225,0.000221556,2.04792e-05,1
9,6,-9.95139,-3.25,9.20139,25.4055,21.2624,0.836921,-0.121318,2.03494,0.662508,1.26326,0.000220699,0.000219759,2.03526e-05,1
9,7,-9.95139,-3.25,9.20139,25.4054,21.2535,0.836573,-0.121318,2.03494,0.662508,1.26274,0.0002225,0.000221556,2.04792e-05,1
9,8,-9.95139,-3.25,9.20139,25.4055,21.2624,0.836921,-0.121318,2.03494,0.662508,1.26326,0.000220699,0.000219759,2.03526e-05,1
10,1,-9.95139,-2.75,9.20139,22.2387,18.6196,0.837261,-0.122134,2.04076,0.659408,1.26972,0.000242014,0.000240988,2.22567e-05,1
10,2,-9.95139,-2.75,9.20139,22.2387,18.6307,0.837761,-0.122134,2.04076,0.659408,1.27047,0.000237826,0.000236815,2.19093e-05,1
10,3,-9.95139,-2.75,9.20139,22.2387,18.6196,0.837261,-0.122134,2.04076,0.659408,1.26972,0.000242014,0.000240988,2.22567e-05,1
10,4,-9.95139,-2.75,9.20139,22.2387,18.6307,0.837761,-0.122134,2.04076,0.659408,1.27047,0.000237826,0.000236815,2.19093e-05,1
10,5,-9.95139,-2.75,9.20139,22.2387,18.6083,0.836755,-0.122134,2.04076,0.659408,1.26895,0.000254251,0.000253173,2.33827e-05,1
10,6,-9.95139,-2.75,9.20139,22.2387,18.6194,0.837253,-0.122134,2.04076,0.659408,1.2697,0.000249789,0.000248726,2.30278e-05,1
