ele,gp,x,z,dx,p,q,eta,psi,Mb,Md,eta_over_Md,err,err_dev,err_vol,f
14,8,-9.95139,-0.75,9.20139,9.67088,8.08265,0.835772,-0.126296,2.07071,0.643813,1.29816,0.00230181,0.00229218,0.000210347,0
15,1,-9.95139,-0.25,9.20139,6.48534,5.44671,0.839851,-0.127815,2.08175,0.638213,1.31594,0.00150675,0.00150048,0.000137305,1
15,2,-9.95139,-0.25,9.20139,6.48566,5.45907,0.841714,-0.127815,2.08175,0.638214,1.31886,0.0015133,0.00150696,0.000138294,1
15,3,-9.95139,-0.25,9.20139,6.48534,5.44672,0.839851,-0.127815,2.08175,0.638213,1.31594,0.00150669,0.00150042,0.0001373,1
15,4,-9.95139,-0.25,9.20139,6.48566,5.45907,0.841714,-0.127815,2.08175,0.638214,1.31886,0.00151326,0.00150692,0.00013829,1
15,5,-9.95139,-0.25,9.20139,6.48507,5.4047,0.833406,-0.127816,2.08175,0.638212,1.30584,0.00184689,0.00183931,0.000167088,1
15,6,-9.95139,-0.25,9.20139,6.48538,5.41727,0.835305,-0.127815,2.08175,0.638213,1.30882,0.00185782,0.00185016,0.000168528,1
15,7,-9.95139,-0.25,9.20139,6.48507,5.40469,0.833405,-0.127816,2.08175,0.638212,1.30584,0.00184699,0.00183941,0.000167097,1
15,8,-9.95139,-0.25,9.20139,6.48538,5.41727,0.835304,-0.127815,2.08175,0.638213,1.30882,0.00185794,0.00185028,0.000168539,1
16,1,-7.62653,-16.1423,6.87653,106.607,91.123,0.854754,-0.108883,1.94828,0.711612,1.20115,0,0,0,1
16,2,-7.62653,-16.1423,6.87653,106.607,91.0768,0.854321,-0.108883,1.94828,0.711612,1.20054,0,0,0,1
16,3,-7.62653,-16.1423,6.87653,106.607,91.123,0.854754,-0.108883,1.94828,0.711612,1.20115,0,0,0,1
16,4,-7.62653,-16.1423,6.87653,106.607,91.0768,0.854321,-0.108883,1.94828,0.711612,1.20054,0,0,0,1
16,5,-7.62653,-16.1423,6.87653,106.607,91.1986,0.855463,-0.108883,1.94828,0.711612,1.20215,0,0,0,1
16,6,-7.62653,-16.1423,6.87653,106.607,91.1525,0.855031,-0.108883,1.94828,0.711612,1.20154,0,0,0,1
16,7,-7.62653,-16.1423,6.87653,106.607,91.1986,0.855463,-0.108883,1.94828,0.711612,1.20215,0,0,0,1
16,8,-7.62653,-16.1423,6.87653,106.607,91.1525,0.855031,-0.108883,1.94828,0.711612,1.20154,0,0,0,1
17,1,-7.62653,-12.839,6.87653,85.9132,73.1618,0.851577,-0.11126,1.96455,0.701954,1.21315,0.00014423,0.000143721,1.21133e-05,1
17,2,-7.62653,-12.839,6.87653,85.9062,73.2464,0.852633,-0.111261,1.96456,0.70195,1.21466,0.00114748,0.00114405,8.8639e-05,1
17,3,-7.62653,-12.839,6.87653,85.9132,73.1618,0.851577,-0.11126,1.96455,0.701954,1.21315,0.00014423,0.000143721,1.21133e-05,1
17,4,-7.62653,-12.839,6.87653,85.9062,73.2464,0.852633,-0.111261,1.96456,0.70195,1.21466,0.00114748,0.00114405,8.8639e-05,1
17,5,-7.62653,-12.839,6.87653,85.9144,73.2751,0.852886,-0.11126,1.96455,0.701954,1.21502,9.17908e-07,9.15671e-07,6.40535e-08,1
17,6,-7.62653,-12.839,6.87653,85.9073,73.3436,0.853753,-0.11126,1.96456,0.70195,1.21626,0.00110371,0.00110105,7.65841e-05,1
17,7,-7.62653,-12.839,6.87653,85.9144,73.2751,0.852886,-0.11126,1.96455,0.701954,1.21502,9.17908e-07,9.15671e-07,6.40535e-08,1
17,8,-7.62653,-12.839,6.87653,85.9073,73.3436,0.853753,-0.11126,1.96456,0.70195,1.21626,0.00110371,0.00110105,7.65841e-05,1
18,1,-7.62653,-10.2681,6.87653,69.8664,59.1905,0.847196,-0.113348,1.97896,0.693577,1.22149,3.23537e-05,3.22801e-05,2.18142e-06,1
18,2,-7.62653,-10.2681,6.87653,69.8658,59.1166,0.846145,-0.113348,1.97896,0.693576,1.21997,5.81347e-05,5.79264e-05,4.91639e-06,0
18,3,-7.62653,-10.2681,6.87653,69.8664,59.1905,0.847196,-0.113348,1.97896,0.693577,1.22149,3.23537e-05,3.22801e-05,2.18142e-06,1
18,4,-7.62653,-10.2681,6.87653,69.8658,59.1166,0.846145,-0.113348,1.97896,0.693576,1.21997,5.81347e-05,5.79264e-05,4.91639e-06,0
18,5,-7.62653,-10.2681,6.87653,69.8534,59.3809,0.850079,-0.11335,1.97897,0.693569,1.22566,0.0022776,0.00227111,0.000171846,1
18,6,-7.62653,-10.2681,6.87653,69.8477,59.3679,0.849962,-0.11335,1.97898,0.693566,1.2255,4.82031e-05,4.8009e-05,4.32142e-06,0
18,7,-7.62653,-10.2681,6.87653,69.8534,59.3809,0.850079,-0.11335,1.97897,0.693569,1.22566,0.0022776,0.00227111,0.000171846,1
18,8,-7.62653,-10.2681,6.87653,69.8477,59.3679,0.849962,-0.11335,1.97898,0.693566,1.2255,4.82031e-05,4.8009e-05,4.32142e-06,0
19,1,-7.62653,-8.26731,6.87653,57.4783,48.2939,0.840212,-0.115162,1.99157,0.68638,1.22412,0.000232899,0.00023198,2.06766e-05,0
19,2,-7.62653,-8.26731,6.87653,57.4752,48.2924,0.84023,-0.115162,1.99157,0.686378,1.22415,0.000306955,0.00030584,2.61385e-05,0
19,3,-7.62653,-8.26731,6.87653,57.4783,48.2939,0.840212,-0.115162,1.99157,0.68638,1.22412,0.000232899,0.00023198,2.06766e-05,0
19,4,-7.62653,-8.26731,6.87653,57.4752,48.2924,0.84023,-0.115162,1.99157,0.686378,1.22415,0.000306955,0.00030584,2.61385e-05,0
19,5,-7.62653,-8.26731,6.87653,57.4797,48.4991,0.84376,-0.115161,1.99156,0.686381,1.22929,0.000132755,0.000132254,1.1514e-05,0
19,6,-7.62653,-8.26731,6.87653,57.4764,48.4926,0.843695,-0.115162,1.99157,0.686379,1.2292,0.000209721,0.000209014,1.71992e-05,0
19,7,-7.62653,-8.26731,6.87653,57.4797,48.4991,0.84376,-0.115161,1.99156,0.686381,1.22929,0.000132755,0.000132254,1.1514e-05,0
19,8,-7.62653,-8.26731,6.87653,57.4764,48.4926,0.843695,-0.115162,1.99157,0.686379,1.2292,0.000209721,0.000209014,1.71992e-05,0
20,1,-7.62653,-6.71019,6.87653,47.7101,39.6455,0.830965,-0.11676,2.00274,0.680102,1.22182,0.000361176,0.000360106,2.77829e-05,1
20,2,-7.62653,-6.71019,6.87653,47.7091,39.5744,0.829494,-0.11676,2.00274,0.680101,1.21966,0.000510504,0.000508578,4.42998e-05,1
20,3,-7.62653,-6.71019,6.87653,47.7101,39.6455,0.830965,-0.11676,2.00274,0.680102,1.22182,0.000361176,0.000360106,2.77829e-05,1
20,4,-7.62653,-6.71019,6.87653,47.7091,39.5744,0.829494,-0.11676,2.00274,0.680101,1.21966,0.000510504,0.000508578,4.42998e-05,1
20,5,-7.62653,-6.71019,6.87653,47.6982,39.8902,0.836304,-0.116762,2.00275,0.680093,1.22969,0.000606439,0.000604585,4.73916e-05,0
20,6,-7.62653,-6.71019,6.87653,47.6955,39.8303,0.835094,-0.116762,2.00275,0.680091,1.22791,0.000739516,0.000737108,5.96245e-05,0
20,7,-7.62653,-6.71019,6.87653,47.6982,39.8902,0.836304,-0.116762,2.00275,0.680093,1.22969,0.000606439,0.000604585,4.73916e-05,0
20,8,-7.62653,-6.71019,6.87653,47.6955,39.8303,0.835094,-0.116762,2.00275,0.680091,1.22791,0.000739516,0.000737108,5.96245e-05,0
21,1,-7.62653,-5.49834,6.87653,40.1158,32.9507,0.821391,-0.118139,2.01243,0.67473,1.21736,0.000793734,0.000790654,6.98619e-05,1
21,2,-7.62653,-5.49834,6.87653,40.1151,32.9156,0.82053,-0.118139,2.01243,0.674729,1.21609,0.000874429,0.000870997,7.73941e-05,1
21,3,-7.62653,-5.49834,6.87653,40.1158,32.9507,0.821391,-0.118139,2.01243,0.67473,1.21736,0.000793734,0.000790654,6.98619e-05,1
21,4,-7.62653,-5.49834,6.87653,40.1151,32.9156,0.82053,-0.118139,2.01243,0.674729,1.21609,0.000874429,0.000870997,7.73941e-05,1
21,5,-7.62653,-5.49834,6.87653,40.1152,32.9849,0.822254,-0.118139,2.01243,0.674729,1.21864,0.000683902,0.000681362,5.88919e-05,1
21,6,-7.62653,-5.49834,6.87653,40.1145,32.95,0.821399,-0.118139,2.01243,0.674729,1.21738,0.000759468,0.000756594,6.60018e-05,1
21,7,-7.62653,-5.49834,6.87653,40.1152,32.9849,0.822254,-0.118139,2.01243,0.674729,1.21864,0.000683902,0.000681362,5.88919e-05,1
21,8,-7.62653,-5.49834,6.87653,40.1145,32.95,0.821399,-0.118139,2.01243,0.674729,1.21738,0.000759468,0.000756594,6.60018e-05,1
22,1,-7.62653,-4.55522,6.87653,34.1757,27.7882,0.8131,-0.119327,2.02081,0.670138,1.21333,0.000876459,0.000873206,7.54408e-05,1
22,2,-7.62653,-4.55522,6.87653,34.1754,27.783,0.812954,-0.119327,2.02081,0.670137,1.21312,0.000939841,0.000936597,7.8024e-05,1
22,3,-7.62653,-4.55522,6.87653,34.1757,27.7882,0.8131,-0.119327,2.02081,0.670138,1.21333,0.000876459,0.000873206,7.54408e-05,1
22,4,-7.62653,-4.55522,6.87653,34.1754,27.783,0.812954,-0.119327,2.02081,0.670137,1.21312,0.000939841,0.000936597,7.8024e-05,1
22,5,-7.62653,-4.55522,6.87653,34.1768,27.9067,0.816539,-0.119326,2.02081,0.670139,1.21846,0.00142023,0.00141478,0.000124276,1
22,6,-7.62653,-4.55522,6.87653,34.1765,27.901,0.81638,-0.119326,2.02081,0.670138,1.21823,0.00143923,0.00143364,0.000126752,1
22,7,-7.62653,-4.55522,6.87653,34.1768,27.9067,0.816539,-0.119326,2.02081,0.670139,1.21846,0.00142023,0.00141478,0.000124276,1
22,8,-7.62653,-4.55522,6.87653,34.1765,27.901,0.81638,-0.119326,2.02081,0.670138,1.21823,0.00143923,0.00143364,0.000126752,1
23,1,-7.62653,-3.82123,6.87653,29.4988,23.8636,0.808968,-0.120348,2.02805,0.666214,1.21428,0.00125984,0.0012552,0.000107943,1
23,2,-7.62653,-3.82123,6.87653,29.4988,23.8706,0.809205,-0.120348,2.02805,0.666214,1.21463,0.00123771,0.00123334,0.000103925,1
