# ADR90 WP-A2 tau=0 band, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
0.02036,0.01018,252.825877,-252.85547,2.56,0,377.980156
0.02292,0.01146,282.29722,-282.333372,2.56,0,438.423388
0.02548,0.01274,311.755255,-311.669131,2.56,0,499.110622
0.02804,0.01402,342.056807,-342.347097,2.56,1,545.988111
0.0306,0.0153,371.161706,-371.385296,5,1,594.458189
0.0331,0.01655,399.266532,-399.424714,2.5,1,663.009506
0.0356,0.0178,427.766779,-427.939049,2.5,1,711.967958
0.0381,0.01905,456.510582,-456.783988,2.5,1,758.450579
0.0406,0.0203,484.90561,-485.043821,2.5,1,807.145666
0.0431,0.02155,512.34774,-512.21924,2.5,0,910.774968
0.0456,0.0228,540.527906,-540.594187,5,0,1003.29339
0.0481,0.02405,570.393403,-570.67799,2.5,1,1096.53232
0.0506,0.0253,598.934118,-599.1393,2.5,1,1149.23301
0.0531,0.02655,626.990296,-626.998287,2.5,1,1208.71294
0.0556,0.0278,653.285705,-653.33063,2.5,0,1271.23397
0.0581,0.02905,683.374024,-683.458344,2.5,1,1318.38188
0.0606,0.0303,711.113476,-711.418097,5,1,1354.74102
0.0631,0.03155,739.154432,-739.49957,2.5,1,1404.81337
0.0656,0.0328,767.139876,-767.551161,2.5,1,1446.73942
0.0681,0.03405,794.055445,-794.274907,2.5,1,1533.02581
0.0706,0.0353,822.875875,-823.192688,2.5,1,1569.62046
0.0731,0.03655,850.104798,-850.38736,2.5,1,1614.28377
0.0756,0.0378,877.774391,-877.983489,5,1,1684.45015
0.0806,0.0403,934.2098,-934.167677,5,1,1731.04597
0.0856,0.0428,989.424555,-989.702285,5,1,1775.56873
0.0906,0.0453,1044.40935,-1044.69344,5,1,1840.97102
0.0956,0.0478,1098.80444,-1099.17168,5,1,1886.20687
0.1006,0.0503,1153.74849,-1154.10438,5,1,1936.68372
0.1056,0.0528,1208.73738,-1208.85513,5,1,1995.11111
0.1081,0.05405,1235.90958,-1236.12691,2.5,1,2060.68447
0.1106,0.0553,1263.19908,-1263.59373,2.5,1,2098.61355
0.1131,0.05655,1290.04964,-1290.26312,2.5,1,2144.30636
0.1156,0.0578,1316.77819,-1316.81089,2.5,1,2170.58834
